score,pop,song_a,song_b,bpm
99,77,ANOTR - Talk To You (ft. 54 Ultra),Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),129<->129
99,77,Future - Snow in Skyami,"Peso Pluma - chiclona (w/ Tito Double P, LENCHO)",129<->123
99,77,Coldplay - Sparks,ZÃ© Neto & Cristiano - Cadeira Cativa,136<->129
99,77,Teddy Swims - The Door,Drake - Janice STFU,129<->123
99,77,"Bob Sinclar - World, Hold On",Drake - Janice STFU,129<->123
99,77,La Rvfleuze - PARLU,Mauvais djo - Maladie,136<->129
99,77,OG Plugging - BBL,Drake - Janice STFU,129<->123
99,76,Summer Cem - KILLY MANJARO (w/ BILLA JOE),Navaan Sandhu - Headliner (w/ Haakam),92<->92
99,76,Summer Cem - KILLY MANJARO (w/ BILLA JOE),Black Cat - Na Za DÃ©solÃ©,92<->89
99,76,The Goo Goo Dolls - Iris,"Arijit Singh - Itni Si Baat Hain (From ""Azhar"") (w/ Antara Mitra)",103<->103
99,76,The Goo Goo Dolls - Iris,"Hunny - Tu Hain Toh (From ""Mr. And Mrs. Mahi"") (w/ Bunny, Sagar)",103<->103
99,76,Olivia Dean - So Easy (To Fall In Love),"Sai Abhyankkar - Karuppa Kooda Va (w/ V.M. Mahalingam, Pa. Vijay)",136<->129
99,76,Olivia Dean - So Easy (To Fall In Love),Olivia Dean - A Couple Minutes,136<->129
99,76,Olivia Dean - So Easy (To Fall In Love),Neton Vega - Todo a Su Tiempo,136<->136
99,76,ZÃ© Neto & Cristiano - Cadeira Cativa,Mauvais djo - PilÃ©,129<->129
99,76,ZÃ© Neto & Cristiano - Cadeira Cativa,KeBlack - Boucan (w/ Franglish),129<->129
99,76,Gambi - RENÃ CAOVILLA,BTS - Body to Body,129<->123
99,76,Gambi - RENÃ CAOVILLA,Jung Kook - Seven (w/ Latto),129<->123
99,76,Fuerza Regida - CHAVALITAS,Junior H - MIENTRAS DUERMES,123<->123
99,76,Simone Mendes - Direitos Iguais,Tito Double P - POR SUS BESOS,112<->112
99,76,"SIRA - Rhythm (w/ Aymen, NiklasWilson)",Henry Freitas - Me Fala Qual Necessidade,129<->123
99,76,Calvin Harris - Summer,Henry Freitas - Me Fala Qual Necessidade,129<->123
99,75,Murilo Huff - Saudade Estranha,Hamza - KYKY2BONDY,143<->143
99,75,"Vishal Mishra - Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)","Vishal Mishra - Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"") (w/ Rashmeet Kaur)",76<->76
99,75,"Vishal Mishra - Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)",Bruce Springsteen - Dancing In the Dark,76<->73
99,75,Gambi - RENÃ CAOVILLA,"Bob Sinclar - World, Hold On",129<->129
99,75,"Oldilla - Cuida do Pet (w/ Mc Iguinho Ct, MC Willian, Aaron Modesto, Mc NegÃ£o Original, DU'L, Dj Aladin GDB)",Genezio - OG (w/ Niska),123<->117
99,75,Fuerza Regida - CHAVALITAS,Drake - Plot Twist,123<->123
99,75,Nono La Grinta - LOVE YOU,RnBoi - AVEC MOI (w/ Nono La Grinta),136<->129
99,75,Fuerza Regida - EXCESOS,reezy - COMEBACCC,129<->129
99,74,Olivia Rodrigo - expectations,"G.A - pros menor da nova (w/ Veigh, Mc Morena, Supernova Ent)",136<->129
99,74,"Bonez MC - Sprite (w/ Gzuz, JUGGLERZ)",PLK - Tu dors ?,107<->112
99,74,JÃºnior e CÃ©zar - Cheiro De Culpado,Divya Kumar - Sun Saathiya (w/ Priya Saraiya),143<->143
99,74,Prospa - Free Your Mind (w/ Cloonee),DJ Japa NK - Amo Minha Favela (w/ MC Meno K),129<->129
99,74,Shakira - Hips Don't Lie (w/ Wyclef Jean),Luke Combs - Be By You,99<->95
99,74,Aymen - Toni M (w/ 3robi),Calvin Harris - Blessings (w/ Clementine Douglas),136<->129
99,74,Herencia De Grandes - Ya Borracho,Wheatus - Teenage Dirtbag,136<->129
99,74,Felipe e Rodrigo - Ignora (Ao Vivo),NATTAN - Aproveita Que Eu TÃ´ Brigado,99<->95
99,74,STELLA LEFTY - Boston,Creedence Clearwater Revival - Have You Ever Seen The Rain,123<->117
99,74,"Aaron Modesto - Pra NÃ£o Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)",Michael Jackson - Smooth Criminal,123<->117
99,74,"Pritam - Bandhu 2.0 (From ""Cocktail 2"") (w/ Kavita Seth, Neeraj Shridhar, Irshad Kamil)",Don Toliver - E85,136<->129
99,74,Pritam - Tum Se Hi (w/ Mohit Chauhan),Jennifer Lopez - On The Floor (w/ Pitbull),129<->129
99,73,Shakira - Hips Don't Lie (w/ Wyclef Jean),"Mithoon - Phir Bhi Tumko Chaahunga (w/ Arijit Singh, Shashaa Tirupati)",99<->99
99,73,Shakira - Hips Don't Lie (w/ Wyclef Jean),Henrique & Diego - SuÃ­te 14,99<->103
99,73,Fleetwood Mac - Dreams,Dasha - Austin,123<->117
99,73,Vance Joy - Riptide,Icona Pop - I Love It (w/ Charli xcx),129<->123
99,73,Aymen - Toni M (w/ 3robi),The Temper Trap - Sweet Disposition,136<->129
99,73,AK AUSSERKONTROLLE - Hin und Her,Ed Sheeran - Shape of You,129<->129
99,73,"DJ Japa NK - Pacman de Panicat (w/ Mc Poze do Rodo, MC Ryan SP, Mc Rodrigo do CN, DJ Guh Mix)",Future - Build a Bitch,117<->123
99,73,Tito Double P - ME VALE V,Robyn - Dancing On My Own,123<->117
99,73,Bilouki - Full,THIZZY52 - BALOTELLI,129<->123
99,72,Shindy - Was bisher geschah,Shashwat Sachdev - Lutt Le Gaya (w/ Simran Choudhary),123<->123
99,72,kulturr - mÃ©li-mÃ©lo,Ninho - Zipette,129<->129
99,72,Ravyn Lenae - Love Me Not,LÃ©o Foguete - Deixo,112<->107
99,72,AK AUSSERKONTROLLE - Hin und Her,"2ZDinizz - Beatriz (w/ Leborato, HHR)",129<->123
99,72,Emmanuel Cortes - Amor,"Shashwat Sachdev - Naal Nachna (w/ Afsana Khan, Irshad Kamil, Reble)",89<->92
99,72,Los Dareyes De La Sierra - MATCHA,Katy Perry - Last Friday Night (T.G.I.F.),86<->83
99,72,Drake - National Treasures,Calvin Harris - Summer,136<->129
99,72,"Drake - One Dance (w/ Wizkid, Kyla)","TRIANGLE DES BERMUDES - Mopao aye (w/ MC YOSHI, Mauvais djo, Kokosvoice)",136<->129
